Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,ha,result
67,118,93,9,1,72.04,4,lbw,2,v New Zealand,Hamilton,2,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v New Zealand,Hamilton,2,4
53,94,54,10,0,98.14,4,caught,1,v Sri Lanka,Colombo (SSC),2,4
124*,308,235,10,1,52.76,4,not out,3,v Sri Lanka,Colombo (SSC),2,4
1,10,4,0,0,25,4,caught,2,v South Africa,Port Elizabeth,2,4
22*,54,45,4,0,48.88,4,not out,4,v South Africa,Port Elizabeth,2,4
79,191,136,13,0,58.08,4,lbw,2,v West Indies,Georgetown,2,4
0,2,1,0,0,0,4,caught,1,v West Indies,St John's,2,4
34,90,68,6,0,50,4,bowled,1,v England,Nottingham,2,4
92,160,113,17,0,81.41,4,bowled,3,v England,Nottingham,2,4
54,114,89,10,0,60.67,4,lbw,2,v England,The Oval,2,4
0,3,3,0,0,0,4,lbw,2,v Australia,Brisbane,2,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v Australia,Brisbane,2,4
241*,613,436,33,0,55.27,4,not out,1,v Australia,Sydney,2,4
60*,108,89,5,0,67.41,4,not out,3,v Australia,Sydney,2,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,v Pakistan,Lahore,2,4
14,64,33,3,0,42.42,4,caught,2,v Pakistan,Faisalabad,2,4
DNB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,v Pakistan,Faisalabad,2,4
101,274,169,9,0,59.76,4,caught,1,v Bangladesh,Chittagong,2,4
31,69,50,2,0,62,4,bowled,3,v Bangladesh,Chittagong,2,4
37,104,78,6,0,47.43,4,lbw,2,v England,Lord's,2,4
16,42,35,3,0,45.71,4,lbw,4,v England,Lord's,2,4
82,298,192,11,0,42.7,4,caught,1,v England,The Oval,2,4
1,13,11,0,0,9.09,4,bowled,3,v England,The Oval,2,4
153,342,205,13,3,74.63,4,caught,1,v Australia,Adelaide,2,4
13,67,36,1,0,36.11,4,run out,3,v Australia,Adelaide,2,4
49,98,65,7,1,75.38,5,caught,2,v New Zealand,Napier,2,4
64,167,131,9,1,48.85,4,caught,3,v New Zealand,Napier,2,4
62,108,85,11,0,72.94,4,caught,1,v New Zealand,Wellington,2,4
9,25,20,0,1,45,4,caught,3,v New Zealand,Wellington,2,4
203,516,347,23,1,58.5,4,caught,2,v Sri Lanka,Colombo (SSC),2,4
146,465,314,17,2,46.49,4,bowled,2,v South Africa,Cape Town,2,4
14*,146,91,0,0,15.38,4,not out,4,v South Africa,Cape Town,2,4
